nombre,mandato,distrito,partido,acta,clausura,anulado,desafuero,fallece,otros,reemplazo,renuncia,reemplazo,no incorporo,vacante
"ACOSTA, ABEL",1922-1926,Catamarca,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial ;,,,,,,,,,,
"ACOSTA, BERNARDINO",1884-1888,Córdoba,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial",,,,,,,,,,
"ACOSTA, EDUARDO",1908-1912,Buenos Aires,No consignado,"Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial ;",,,,,,,,,,
"ACOSTA, EDUARDO",1912-1916,Buenos Aires,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial",,,,,,,,,,
"ACOSTA, GUILLERMO",1940-1944,Entre Ríos,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1943/1946 (RAWSON-RAMIREZ-FARRELL),,,,,,,,,
"ACOSTA, GUILLERMO",1934-1936,Entre Ríos,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial ;,,,,,,,,,,
"ACOSTA, JUAN P.",1916-1920,Corrientes,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,Falleció el 28/05/1918,,,,,,
"ACOSTA, JULIO ELEUTERIO",1960-1964,Chaco,UNION CIVICA RADICAL DEL PUEBLO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Disolución del Poder Legislativo en el período 1962/1963 por Decreto del PEN 9204/62 (Guido) que impuso la reorganización de los partidos políticos,,,,,,,,,
"ACOSTA, MARIA JULIA",2007-2011,Catamarca,FRENTE PARA LA VICTORIA,,,,,,,,,,,
"ACOSTA, MARIANO",1867-1870,Buenos Aires,No consignado,"Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento;",,,,,,,,,,
"ACOSTA, MARIANO",1872-1876,Buenos Aires,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la",,,,,,,,,,
"ACOSTA, MARIANO",1870-1871,Buenos Aires,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la",,,,,,,,,,
"ACOSTA, POLICARPO",1955-1961,Chaco,PARTIDO PERONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ACOSTA, POLICARPO",1953-1955,Chaco,PARTIDO PERONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial ;,Clausura del Poder Legislativo en el período 1955/1958 (LONARDI-ARAMBURU),,,,,,,,,
"ACUÑA KUNZ, JUAN ERWIN BOLIVAR",2005-2009,Santa Cruz,UNION CIVICA RADICAL,,,,,,,,,,,
"ACUÑA, AURELIO S.",1938-1942,Catamarca,DEMOCRATA NACIONAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ACUÑA, HIPOLITO",1973-1977,Santa Fe,MOVIMIENTO DE INTEGRACION Y DESARROLLO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,Falleció el 14/02/1975,,"Reemplazado por CONTESTI, RUBEN R.",,,,
"ACUÑA, HUGO RODOLFO",2005-2009,Neuquen,MOVIMIENTO POPULAR NEUQUINO,,,,,,,,,,,
"ACUÑA, JUAN N.",1892-1896,Buenos Aires,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"ACUÑA, JUDITH ELIDA",1952-1955,Corrientes,PARTIDO PERONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1955/1958 (LONARDI-ARAMBURU),,,,,,,,,
"ACUÑA, JULIO P.",1878-1882,Catamarca,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial,,,,,,,,,,
"ACUÑA, PEDRO IGNACIO",1880-1884,Catamarca,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial ;,,,,,,,,,,
"ACUÑA, PEDRO IGNACIO",1902-1906,Catamarca,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la",,,,,,,,,,
"ACUÑA, RAMON EDGARDO",1960-1964,Catamarca,UNION CIVICA RADICAL DEL PUEBLO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Disolución del Poder Legislativo en el período 1962/1963 por Decreto del PEN 9204/62 (Guido) que impuso la reorganización de los partidos políticos,,,,,,,,,
"ADAIME, FELIPE TEOFILO",1995-1999,Corrientes,ALIANZA PACTO AUTONOMISTA LIBERAL-DEMOCRATA PROGRESISTA,,,,,,,,,,,
"ADAIME, FELIPE TEOFILO",1991-1995,Corrientes,PACTO AUTONOMISTA LIBERAL,,,,,,,,,,,
"ADAIME, FELIPE TEOFILO",1987-1991,Corrientes,PACTO AUTONOMISTA LIBERAL,,,,,,,,,,,
"ADAMO, CARLOS",1987-1991,Santiago del Estero,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"ADARO, ESTEBAN P.",1924-1928,San Luis,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ADROGUE, CARLOS ALFREDO",1960-1964,Capital Federal,UNION CIVICA RADICAL DEL PUEBLO,,Disolución del Poder Legislativo en el período 1962/1963 por Decreto del PEN 9204/62 (Guido) que impuso la reorganización de los partidos políticos,,,,,,,,,
"AGESTA, ENRIQUE",1920-1922,Capital Federal,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"AGOSTO, WALTER ALFREDO",2007-2011,Santa Fe,FRENTE PARA LA VICTORIA,,,,,,,,,,,
"AGOTE, LUIS",1916-1920,Buenos Aires,PARTIDO CONSERVADOR,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"AGOTE, LUIS",1910-1914,Buenos Aires,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial ;,,,,,,,,,,
"AGOTE, PEDRO",1863-1864,Catamarca,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Nota girada a esta Cámara por la Legislatura provincial Nota girada a esta Cámara por el Poder Ejecutivo Nacional por la cual informa que tomó conocimi",,,,,,,,,,
"AGUAD, OSCAR RAUL",2009-2013,Córdoba,UNION CIVICA RADICAL,,,,,,,,,,,
"AGUAD, OSCAR RAUL",2005-2009,Córdoba,UNION CIVICA RADICAL,,,,,,,,,,,
"AGUADO, JORGE RUBEN",1989-1993,Buenos Aires,UNION de CENTRO DEMOCRATICO,,,,,,,,,,,
"AGÜERO VERA, ZACARIAS",1920-1922,La Rioja,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"AGÜERO, ELDA SUSANA",2003-2007,Buenos Aires,PARTIDO JUSTICIALISTA - CONCERTACION JUSTICIALISTA PARA EL CAMBIO,,,,,,,,,,,
"AGÜERO, ELDA SUSANA",1999-2003,Buenos Aires,PARTIDO JUSTICIALISTA - CONCERTACION JUSTICIALISTA PARA EL CAMBIO,,,,,,,,,,,
"AGÜERO, SANTOS",1932-1936,San Luis,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"AGÜERO, TEODOMIRO DE LA LUZ",1952-1955,Catamarca,PARTIDO PERONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1955/1958 (LONARDI-ARAMBURU),,,,,,,,,
"AGUIAR, HENOCH D.",1938-1942,Córdoba,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"AGUILAR, LINO WALTER",2011-2015,San Luis,FRENTE PERONISTA,,,,,,,,,,,
"AGUILAR, RAMON ROSA",1983-1987,Santiago del Estero,PARTIDO JUSTICIALISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"AGUILERA, AMERICO",1936-1940,Córdoba,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,Falleció el 05/04/1938,,,,,,
"AGUINAGA, CARLOS E.",1965-1969,Mendoza,PARTIDO DEMOCRATA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"AGUINAGA, CARLOS E.",1960-1964,Mendoza,UNION CIVICA RADICAL INTRANSIGENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial ;,Disolución del Poder Legislativo en el período 1962/1963 por Decreto del PEN 9204/62 (Guido) que impuso la reorganización de los partidos políticos,,,,,,,,,
"AGUINAGA, CARLOS E.",1942-1946,Mendoza,DEMOCRATA NACIONAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial ;,Clausura del Poder Legislativo en el período 1943/1946 (RAWSON-RAMIREZ-FARRELL);,,,,,,,,,
"AGUIRRE CAMARA, JOSE A.",1963-1967,Córdoba,PARTIDO DEMOCRATA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"AGUIRRE CAMARA, JOSE A.",1938-1942,Córdoba,DEMOCRATA NACIONAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial ;,Clausura del Poder Legislativo en el período 1943/1946 (RAWSON-RAMIREZ-FARRELL);,,,,,,,,,
"AGUIRRE CAMARA, JOSE A.",1942-1946,Córdoba,PARTIDO DEMOCRATA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial ;,Clausura del Poder Legislativo en el período 1966/1973 (ONGANIA-LEVINGSTON-LANUSSE),,,,,,,,,
"AGUIRRE CAMARA, JOSE A.",1930-1934,Córdoba,PARTIDO DEMOCRATA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial ;,Clausura del Poder Legislativo en el período 1930/1932 (URIBURU);,,,,,,,,,
"AGUIRRE DE SAIBENE, LUISA E.",1973-1977,Corrientes,FRENTE JUSTICIALISTA DE LIBERACION,,Clausura del Poder Legislativo en el período 1976/1983 (VIDELA-VIOLA-GALTIERI-BIGNONE),,,,,,,,,
"AGUIRRE LANARI, JUAN RAMON",1960-1964,Corrientes,PARTIDO LIBERAL,,Disolución del Poder Legislativo en el período 1962/1963 por Decreto del PEN 9204/62 (Guido) que impuso la reorganización de los partidos políticos,,,,,,,,,
"AGUIRRE ZABALA, MIGUEL A. S.",1934-1938,Entre Ríos,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"AGUIRRE ZABALA, MIGUEL A. S.",1932-1934,Entre Ríos,UNION CIVICA RADICAL ANTIPERSONALISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial ;,,,,,,,,,,
"AGUIRRE ZABALA, MIGUEL A. S.",1930-1934,Entre Ríos,UNION CIVICA RADICAL ANTIPERSONALISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial ;,Clausura del Poder Legislativo en el período 1930/1932 (URIBURU),,,,,,,,,
