nombre,mandato,distrito,partido,acta,clausura,anulado,desafuero,fallece,otros,reemplazo,renuncia,reemplazo,no incorporo,vacante
"GUEVARA, PEDRO A.",1910-1914,Mendoza,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincialNota girada a esta Cámara por la Legislatura provincial,,,,Falleció el 21/06/1913,,,,,,
"GUEVARA, PEDRO A.",1906-1910,Mendoza,No consignado,Nota girada a esta Cámara por la Legislatura provincial;,,,,,,"Reemplazado por CALIGNIANA SEGURA, CARLOS",,,,
"GUEVARA, PEDRO A.",1902-1906,Mendoza,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y ReglamentoDecreto de una comisión especial o de la Comisión de Peticiones, Poderes y ReglamentoActa judicial del resultado electoral o Acta de la sesión de la Legislatu",,,,,,,,,,
"GUGLIALMELLI, AQUILES M.",1936-1940,Buenos Aires,DEMOCRATA NACIONAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"GUGLIALMELLI, AQUILES M.",1932-1936,Buenos Aires,PARTIDO DEMOCRATA NACIONAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"GUGLIELMO, IRMA CAROLINA",1991-1995,Buenos Aires,FRENTE JUSTICIALISTA FEDERAL,,,,,,,,,,,
"GUGLIELMO, IRMA CAROLINA",1995-1999,Buenos Aires,FRENTE JUSTICIALISTA FEDERAL,,,,,,,,,,,
"GUGLIELMO, IRMA CAROLINA",2001-2005,Buenos Aires,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"GUGLIELMO, IRMA CAROLINA",1987-1991,Buenos Aires,FRENTE JUSTICIALISTA RENOVADOR,,,,,,,,,,,
"GUIDI, EMILIO ESTEBAN",1987-1991,Jujuy,MOVIMIENTO POPULAR JUJEÑO,,,,,,,,,,,
"GUIDO LAVALLE, RICARDO",1906-1910,Buenos Aires,No consignado,Nota girada a esta Cámara por la Legislatura provincial,,,,,,,,,,
"GUIDO, MARIO M.",1940-1944,Buenos Aires,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1943/1946 (RAWSON-RAMIREZ-FARRELL),,,,,,,,,
"GUIDO, MARIO M.",1922-1926,Buenos Aires,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"GUIDO, MARIO M.",1920-1922,Buenos Aires,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"GUILLOT, CESAR J.",1946-1948,Capital Federal,PARTIDO PERONISTA,,,,,,,,,,,
"GUILLOT, VICTOR JUAN",1940-1944,Capital Federal,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,Falleció el 23/08/1940,,,,,,
"GUILLOT, VICTOR JUAN",1936-1940,Capital Federal,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"GUILLOT, VICTOR JUAN",1926-1930,Capital Federal,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"GUILLOT, VICTOR JUAN",1930-1934,Capital Federal,UNION CIVICA RADICAL,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;",Clausura del Poder Legislativo en el período 1930/1932 (URIBURU),,,,,,,,,
"GUIÑAZU, VICTOR S.",1892-1896,San Luis,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"GÜIRALDES, CARLOS (H)",1940-1944,Buenos Aires,DEMOCRATA NACIONAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"GÜIRALDES, CARLOS (H)",1936-1940,Buenos Aires,DEMOCRATA NACIONAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"GULLO, JUAN CARLOS DANTE",2007-2011,Ciudad Autonoma de Buenos Aires,FRENTE PARA LA VICTORIA,,,,,,,,,,,
"GURIOLI, MARIO ALBERTO",1983-1985,Buenos Aires,PARTIDO JUSTICIALISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"GUTIERREZ, ALICIA VERONICA",1999-2003,Santa Fe,"ALIANZA por el TRABAJO, la JUSTICIA y la EDUCACION",,,,,,,,,,,
"GUTIERREZ, CARLOS CIRO",1926-1930,San Juan,CONCENTRACION CIVICA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"GUTIERREZ, DIANA BARBARA",1995-1999,Buenos Aires,FRENTE JUSTICIALISTA FEDERAL,,,,,,,,,,,
"GUTIERREZ, EDUARDO O.",1963-1967,Capital Federal,UNION del PUEBLO ARGENTINO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1966/1973 (ONGANIA-LEVINGSTON-LANUSSE),,,,,,,,,
"GUTIERREZ, FRANCISCO VIRGILIO",2005-2009,Buenos Aires,FRENTE PARA LA VICTORIA (Polo Social - P. De la Victoria - Nueva Democracia - Para la Acción Nueva - Frente Grande - Movimiento H.A.C.E.R. por Buenos Aires),,,,,,,,,,,
"GUTIERREZ, FRANCISCO VIRGILIO",2001-2005,Buenos Aires,POLO SOCIAL - COALICION ALIANZA,,,,,,,,,,,
"GUTIERREZ, GRACIELA BEATRIZ",2005-2009,Santa Cruz,FRENTE PARA LA VICTORIA - PARTIDO JUSTICIALISTA,,,,,,,,,,,
"GUTIERREZ, GUSTAVO EDUARDO",1999-2003,Mendoza,PARTIDO DEMOCRATA,,,,,,,,,,,
"GUTIERREZ, GUSTAVO EDUARDO",1995-1999,Mendoza,PARTIDO DEMOCRATA DE MENDOZA,,,,,,,,,,,
"GUTIERREZ, JOSE MARIA",1880-1884,Buenos Aires,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,"Cese del Poder Legislativo en 1880, por la Federalización de Buenos Aires",,,,,,,,,
"GUTIERREZ, JOSE MARIA",1958-1962,Capital Federal,UNION CIVICA RADICAL INTRANSIGENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"GUTIERREZ, JOSE MARIA",1938-1942,Mendoza,DEMOCRATA NACIONAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"GUTIERREZ, JOSE MARIA",1928-1932,Capital Federal,UNION CIVICA RADICAL,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial",Clausura del Poder Legislativo en el período 1930/1932 (URIBURU),,,,,,,,,
"GUTIERREZ, JOSE MARIA",1898-1900,Capital Federal,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"GUTIERREZ, JOSE MARIA",1870-1874,Buenos Aires,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la",,,,,,,,,,
"GUTIERREZ, JOSE MARIA",1864-1868,Buenos Aires,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Nota girada a esta Cámara por el Poder Ejecutivo Nacional por la cual informa que tomó conocimiento de la elección;",,,,,,,,,,
"GUTIERREZ, JOSE MARIA",1862-1864,Buenos Aires,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento;",,,,,,,,,,
"GUTIERREZ, JUAN MARIA",1858-1860,Santiago del Estero,No consignado,,,,,,,,,,,
"GUTIERREZ, JULIO CESAR",2001-2005,Santa Fe,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"GUTIERREZ, MONICA EDITH",2011-2015,Córdoba,FRENTE PARA LA VICTORIA,,,,,,,,,,,
"GUTIERREZ, NARCISO G.",1904-1908,San Luis,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"GUTIERREZ, REYNALDO PASTOR",1983-1985,Neuquen,MOVIMIENTO POPULAR NEUQUINO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"GUTIERREZ, VICTORINO HECTOR B.",1958-1962,Chaco,UNION CIVICA RADICAL INTRANSIGENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"GUZMAN RODRIGUEZ, SEGUNDO",1930-1934,Catamarca,UNION CIVICA RADICAL SITUACIONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1930/1932 (URIBURU),,,,,,,,,
"GUZMAN, ALEJO DEL CARMEN",1860-1862,Córdoba,No consignado,,Clausura del Poder Legislativo en 1861 por la Confederación Argentina,,,,Parana,,,,,
"GUZMAN, GREGORIO HORACIO",1985-1989,Jujuy,MOVIMIENTO POPULAR JUJEÑO,,,,,,,"Reemplazado por GUIDI, EMILIO E.",,,,
"GUZMAN, IGNACIO",1983-1987,Santiago del Estero,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"GUZMAN, MARIA CRISTINA",1987-1991,Jujuy,MOVIMIENTO POPULAR JUJEÑO,,,,,,,,,,,
"GUZMAN, MARIA CRISTINA",1991-1995,Jujuy,MOVIMIENTO POPULAR JUJEÑO,,,,,,,,,,,
"GUZMAN, MARIA CRISTINA",1995-1999,Jujuy,MOVIMIENTO POPULAR JUJEÑO,,,,,,,,,,,
"GUZMAN, MARIA CRISTINA",1983-1987,Jujuy,MOVIMIENTO POPULAR JUJEÑO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"GUZMAN, MARIA CRISTINA",1973-1977,Jujuy,MOVIMIENTO POPULAR JUJEÑO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,Clausura del Poder Legislativo en el período 1976/1983 (VIDELA-VIOLA-GALTIERI-BIGNONE),,,,,,,,,
"GUZMAN, OLGA ELIZABETH",2009-2013,Neuquen,MOVIMIENTO POPULAR NEUQUINO,,,,,,,,,,,
"GUZZO, DOMINGO A.",1928-1932,Capital Federal,UNION CIVICA RADICAL,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial",Clausura del Poder Legislativo en el período 1930/1932 (URIBURU),,,,,,,,,
"GYSSELS, NESTOR JUAN",1958-1960,Buenos Aires,UNION CIVICA RADICAL INTRANSIGENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"HAIEK, JOSE",1973-1977,Buenos Aires,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1976/1983 (VIDELA-VIOLA-GALTIERI-BIGNONE),,,,,,,,,
"HALAK, BEATRIZ SUSANA",2005-2009,Córdoba,ALIANZA UNION POR Cordoba,,,,,,,,,,,
"HAQUIM, CARLOS GUILLERMO",1995-1999,Jujuy,FRENTE JUSTICIALISTA DE UNIDAD POPULAR - PARTIDO JUSTICIALISTA,,,,,,,,,,,
"HARAMBOURE, HORACIO",1948-1952,Buenos Aires,PARTIDO PERONISTA,,,,,,,,,,,
"HARDOY, EMILIO JULIO",1965-1969,Buenos Aires,UNION CONSERVADORA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1966/1973 (ONGANIA-LEVINGSTON-LANUSSE),,,,,,,,,
"HARDOY, EMILIO JULIO",1936-1940,Buenos Aires,JUNTA NACIONAL,"Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Nota girada a esta Cámara por la Legislatura provincial;",,,,,,,,,,
"HARDY, ANIBAL OSVALDO",1991-1995,Formosa,ALIANZA FRENTE DE LA VICTORIA,,,,,,,,,,,
"HARISPE, ALBINO H.",1932-1934,Entre Ríos,UNION CIVICA RADICAL ANTIPERSONALISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"HARISPE, GASTON",2011-2015,Buenos Aires,NUEVO ENCUENTRO,,,,,,,,,,,
"HARRINGTON, LUIS JOSE D.",1973-1977,Buenos Aires,ALIANZA POPULAR FEDERALISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1976/1983 (VIDELA-VIOLA-GALTIERI-BIGNONE),,,,,,,,,
"HARRINGTON, LUIS JOSE D.",1963-1967,Buenos Aires,UNION CIVICA RADICAL INTRANSIGENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,Clausura del Poder Legislativo en el período 1966/1973 (ONGANIA-LEVINGSTON-LANUSSE);,,,,,,,,,
"HARVEY, RICARDO JUAN GUILLERMO",1965-1967,Corrientes,PACTO AUTONOMISTA LIBERAL,,Clausura del Poder Legislativo en el período 1966/1973 (ONGANIA-LEVINGSTON-LANUSSE),,,,,,,,,
"HECHEM, RENE",1955-1961,Rio Negro,PARTIDO PERONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el peRiodo 1955/1958 (LONARDI-ARAMBURU),,,,,,,,,
"HELGUERA, FEDERICO",1900-1904,Tucumán,No consignado,"Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"HELLER, CARLOS SALOMON",2009-2013,Ciudad Autonoma de Buenos Aires,ALIANZA ENCUENTRO POPULAR PARA LA VICTORIA,,,,,,,,,,,
"HEREDIA, ARTURO MIGUEL",2005-2009,Córdoba,FRENTE PARA LA VICTORIA - PARTIDO JUSTICIALISTA,,,,,,,,,,,
"HEREDIA, BERNARDO M.",1958-1960,Santa Fe,UNION CIVICA RADICAL INTRANSIGENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"HEREDIA, GILBERTO L.",1958-1962,San Juan,UNION CIVICA RADICAL INTRANSIGENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"HERMIDA, ANTONIO",1952-1958,Buenos Aires,PARTIDO PERONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1955/1958 (LONARDI-ARAMBURU),,,,,,,,,
"HERNANDEZ RAMIREZ, RAFAEL",1958-1962,Córdoba,UNION CIVICA RADICAL DEL PUEBLO,,,,,,,,,,,
"HERNANDEZ, ANTONIO MARIA",1991-1995,Córdoba,UNION CIVICA RADICAL,,,,,,,,,,,
"HERNANDEZ, BELISARIO",1926-1930,Entre Ríos,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"HERNANDEZ, CINTHYA G.",2003-2007,Rio Negro,UNION CIVICA RADICAL,,,,,,,,,,,
"HERNANDEZ, CLODOMIRO",1936-1940,Santa Fe,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"HERNANDEZ, DIOGENES",1916-1920,Santa Fe,UNION CIVICA RADICAL SITUACIONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"HERNANDEZ, MANUEL",1914-1916,Santiago del Estero,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por el Poder Ejecutivo Nacional por",,,,,,,,,,
"HERNANDEZ, MARTIN",1906-1910,Santa Fe,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"HERNANDEZ, SABA Z.",1918-1922,Entre Ríos,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"HERNANDEZ, SABA Z.",1887-1890,Entre Ríos,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial;,,,,,,"Reemplazado por CALDERON, RAMON",,,,
"HERNANDEZ, SABA Z.",1898-1902,Entre Ríos,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincialNota girada a esta Cámara por la Legislatura provincial;",,,,,,,,,,
"HERNANDEZ, SABA Z.",1908-1912,Entre Ríos,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y ReglamentoDecreto de una comisión especial o de la Comisión de Peticiones, Poderes y ReglamentoActa judicial del resultado electoral o Acta de la sesión de la L",,,,,,,,,,
"HERNANDEZ, SABA Z.",1904-1908,Entre Ríos,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y ReglamentoNota girada a esta Cámara por la Legislatura provincial;",,,,,,,,,,
"HERNANDEZ, SANTIAGO ANTONIO",1987-1991,Rio Negro,PARTIDO PROVINCIAL RioNEGRINO,,,,,,,,,,,
"HERNANDEZ, SANTOS ABEL",1989-1993,Buenos Aires,FRENTE JUSTICIALISTA de UNIDAD POPULAR,,,,,,,,,,,
"HERNANDEZ, SIMON FERMIN G.",1999-2003,Catamarca,"ALIANZA POR EL TRABAJO, LA JUSTICIA Y LA EDUCACION - FRENTE CIVICO Y SOCIAL",,,,,,,,,,,
"HERNANDEZ, VICTORIO",1938-1942,Santiago del Estero,RADICAL UNIFICADO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por el Poder Ejecutivo Nacional por la cual informa que tomó conocimiento de la elección,,,,,,,,,,
"HERRAIZ, PASCUAL",1932-1934,Mendoza,DEMOCRATA NACIONAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"HERRAIZ, PASCUAL",1924-1928,Mendoza,PARTIDO LIBERAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"HERRERA ARIAS, MANUEL HIPOLITO",1995-1999,Santiago del Estero,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"HERRERA ARIAS, MANUEL HIPOLITO",1991-1995,Santiago del Estero,ALIANZA JUSTICIALISTA,,,,,,,,,,,
"HERRERA PAEZ, ENZO THELISMAR",1997-2001,La Rioja,"ALIANZA por el TRABAJO, la JUSTICIA y la EDUCACION",,,,,,,,,,,
"HERRERA, ALBERTO",1999-2003,Tucumán,ALIANZA CONCERTACION JUSTICIALISTA PARA EL CAMBIO,,,,,,,,,,,
"HERRERA, ALBERTO",2005-2009,Tucumán,FRENTE PARA LA VICTORIA - PARTIDO JUSTICIALISTA,,,,,,,,,,,
"HERRERA, ALBERTO",1995-1999,Tucumán,FRENTE DE LA ESPERANZA - PARTIDO JUSTICIALISTA,,,,,,,,,,,
"HERRERA, BERNARDO ELIGIO",1987-1991,La Rioja,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"HERRERA, BERNARDO ELIGIO",1991-1995,La Rioja,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"HERRERA, BERNARDO ELIGIO",1983-1985,La Rioja,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"HERRERA, BRUNO J.",1932-1936,Córdoba,PARTIDO SOCIALISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"HERRERA, DAVID",1894-1898,Santiago del Estero,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"HERRERA, DERMIDIO FERNANDO L.",1985-1989,Catamarca,FRENTE JUSTICIALISTA DE LIBERACION,,,,,,,,,,,
"HERRERA, GRISELDA NOEMI",2011-2015,La Rioja,FRENTE PARA LA VICTORIA,,,,,,,,,,,
"HERRERA, GRISELDA NOEMI",2005-2009,La Rioja,FRENTE PARA LA VICTORIA - PARTIDO JUSTICIALISTA,,,,,,,,,,,
"HERRERA, GRISELDA NOEMI",2001-2005,La Rioja,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"HERRERA, JOSE ALBERTO",2011-2015,Santiago del Estero,FRENTE CIVICO POR SANTIAGO,,,,,,,,,,,
"HERRERA, JOSE ALBERTO",2007-2011,Santiago del Estero,FRENTE CIVICO,,,,,,,,,,,
"HERRERA, JULIO",1890-1894,Catamarca,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"HERRERA, LUIS FERNANDO",1989-1993,Capital Federal,UNION de CENTRO DEMOCRATICO,,,,,,,,,,,
"HERRERA, MAURICIO",1882-1886,Catamarca,No consignado,"Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial;",,,,,,,,,,
"HERRERA, MAURICIO",1896-1900,Catamarca,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial Nota",,,,,,,,,,
"HERRERA, OSCAR A.",1965-1969,Chubut,UNION CIVICA RADICAL DEL PUEBLO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1966/1973 (ONGANIA-LEVINGSTON-LANUSSE),,,,,,,,,
"HERRERA, OSCAR A.",1963-1965,Chubut,UNION CIVICA RADICAL DEL PUEBLO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"HERZOVICH, MARIA ELENA",1999-2003,Entre Ríos,"ALIANZA POR EL TRABAJO, LA JUSTICIA Y LA EDUCACION",,,,,,,,,,,
"HIRIART, JUAN C.",1926-1930,Capital Federal,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"HOFFMAN, JOSE MARIA",1930-1934,Santa Fe,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,No se incorporó,,,,
"HONCHERUK, ATLANTO",1999-2003,Chaco,ALIANZA UNION PARA EL NUEVO CHACO,,,,,,,,,,,
"HORNE, BERNARDINO C.",1942-1946,Entre Ríos,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1943/1946 (RAWSON-RAMIREZ-FARRELL),,,,,,,,,
"HORNE, BERNARDINO C.",1936-1940,Entre Ríos,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"HORTA, JORGE LUIS",1983-1987,Buenos Aires,PARTIDO JUSTICIALISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"HOTTON, CYNTHIA LILIANA",2007-2011,Ciudad Autonoma de Buenos Aires,PROPUESTA PARA UNA REPUBLICA DE OPORTUNIDADES (PRO),,,,,,,,,,,
"HUARTE, HORACIO HUGO",1985-1989,Buenos Aires,UNION CIVICA RADICAL,,,,,,,,,,,
"HUARTE, HORACIO HUGO",1983-1985,Buenos Aires,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"HUDSON, DAMIAN (S)",1862-1866,Mendoza,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento",,,,,Suplente,,,,,
"HUERGO, DELFIN B.",1880-1884,Buenos Aires,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,"Cese del Poder Legislativo en 1880, por la Federalización de Buenos Aires",,,,,,,,,
"HUEYO, HORACIO",1973-1977,Capital Federal,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1976/1983 (VIDELA-VIOLA-GALTIERI-BIGNONE),,,,,,,,,
"HUGHES, GILBERT",1973-1977,Chubut,FRENTE JUSTICIALISTA DE LIBERACION,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1976/1983 (VIDELA-VIOLA-GALTIERI-BIGNONE),,,,,,,,,
"HUMADA, JULIO CESAR",2001-2005,Misiones,PARTIDO JUSTICIALISTA - FRENTE PARA EL CAMBIO,,,,,,,,,,,
"HUMADA, RAUL",1991-1995,Misiones,FRENTE JUSTICIALISTA DE UNIDAD POPULAR,,,,,,,,,,,
"IANNI, ANA MARIA",2011-2015,Santa Cruz,FRENTE PARA LA VICTORIA,,,,,,,,,,,
"IANSPOLSKY, ANGEL",1946-1950,Buenos Aires,LABORISTA E INDEPENDIENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,Falleció el 03/03/1947,,,,,,
"IBAÑEZ, DIEGO SEBASTIAN",1983-1987,Buenos Aires,PARTIDO JUSTICIALISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"IBAÑEZ, JOSE B.",1889-1890,Catamarca,No consignado,"Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"IBAÑEZ, JUAN JOSE",1906-1910,Catamarca,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial,,,,,,,,,,
"IBAÑEZ, JUAN JOSE",1892-1896,Catamarca,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la",,,,,,,,,,
"IBARBIA, JOSE MARIA",1991-1995,Buenos Aires,UNION de CENTRO DEMOCRATICO,,,,,,,,,,,
"IBARBIA, JOSE MARIA",1987-1991,Buenos Aires,UNION de CENTRO DEMOCRATICO,,,,,,,,,,,
"IBARGUREN, PRUDENCIO MAXIMO",1948-1952,Buenos Aires,PARTIDO PERONISTA,,,,,,,,,,,
"IBARRA, ABSALON",1860-1862,Santiago del Estero,No consignado,,Clausura del Poder Legislativo en 1861 por la Confederación Argentina,,,,Parana,,,,,
"IBARRA, ABSALON",1862-1864,Santiago del Estero,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento",,,,,,,,,,
"IBARRA, EDUARDO MAURICIO",2009-2013,San Luis,ALIANZA FRENTE UNION POR SAN JUAN,,,,,,,,,,,
"IBARRA, VILMA LIDIA",2007-2011,Ciudad Autonoma de Buenos Aires,FRENTE PARA LA VICTORIA,,,,,,,,,,,
