Senador,Legal Desde,Legal Hasta,Real Desde,Real Hasta,Provincia,Partido Político,Reemplazo,Observaciones
"CIARLOTTI, PEDRO ANTONIO  ",31/03/1958,30/04/1961 ,31/03/1958,30/04/1961 ,CHUBUT ,SIN ESPECIFICAR ,"CIARLOTTI, PEDRO ANTONIO  ",NINGUNA 
"CIARLOTTI, PEDRO ANTONIO  ",07/06/1961,30/04/1970 ,07/06/1961,06/09/1962 ,CHUBUT ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962.  
"CIMADEVILLA, MARIO JORGE ",10/12/2009,09/12/2015 ,10/12/2009,Sin Fecha ,CHUBUT ,UNIÓN CÍVICA RADICAL ,,NINGUNA 
"CIVIT, EMILIO  ",30/04/1883,30/04/1892 ,23/06/1891,30/04/1892 ,MENDOZA ,CONSERVADOR ,"GUIÑAZU, OSEAS  ",COMPLETA EL PERIODO DE JOSE ZAPATA. (1883/1892).  
"CIVIT, EMILIO  ",17/05/1910,30/04/1919 ,17/05/1910,30/04/1919 ,MENDOZA ,CONSERVADOR ,"CESPEDES, JORGE  ",REEMPLAZA A JACINTO ALVAREZ POR EXPIRACION DE MANDATO.  
"CIVIT, FRANCISCO  ",07/06/1877,30/04/1886 ,07/06/1877,30/04/1886 ,MENDOZA ,SIN ESPECIFICAR ,"BENEGAS, TIBURCIO  ",NINGUNA 
"CLOSS, MAURICE FABIAN ",10/12/2005,09/12/2011 ,10/12/2005,09/12/2007 ,MISIONES ,FRENTE RENOVADOR DE LA CONCORDIA ,"TORRES, EDUARDO ENRIQUE ",NINGUNA 
"COLAZO, MARIO JORGE ",10/12/2001,09/12/2007 ,10/12/2001,10/01/2004 ,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR ",UNIÓN CÍVICA RADICAL ,"CAPOS, LILIANA ",REEMPLAZA AL SENADOR RUGGERO PRETO.  
"COLAZO, MARIO JORGE ",10/12/2007,09/12/2013 ,10/12/2007,Sin Fecha ,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR ",UNIDAD FEDERALISTA ,SENADOR EN EJERCICIO ,NINGUNA 
"COLINA, FELIX M. DE LA  ",22/01/1941,30/04/1950 ,22/01/1941,18/02/1943 ,LA RIOJA ,SIN ESPECIFICAR ,VACANTE HASTA DISOLUC.P.L. ,REEMPLAZA A CEBALLOS REYES POR EXPIRACION DE MANDATO. RENUNCIA EN 1943. ES NOMBRADO GOBERNADOR DE LA PROVINCIA DE LA RIOJA. LA BANCA QUEDA VACANTE HASTA LA DISOLUCION DEL PODER LEGISLATIVO EL 18 DE JUNIO DE 1943.  
"COLOMBO de ACEVEDO, MARÍA TERESITA DEL VALLE ",10/12/2001,09/12/2003 ,10/12/2001,Sin Fecha ,CATAMARCA ,FRENTE CÍVICO Y SOCIAL DE CATAMARCA ,"COLOMBO DE ACEVEDO, MARÍA TERESITA DEL VALLE ",REEMPLAZA AL SENADOR VILLARROEL POR EXPIRACION DE MANDATO.  
"COLOMBO de ACEVEDO, MARÍA TERESITA DEL VALLE ",10/12/2003,09/12/2009 ,10/12/2003,Sin Fecha ,CATAMARCA ,FRENTE CÍVICO Y SOCIAL DE CATAMARCA ,SENADORA EN EJERCICIO ,REELECTA  
"COLOMBRES, EZEQUIEL  ",30/04/1868,30/04/1877 ,02/05/1873,30/04/1877 ,TUCUMÁN ,SIN ESPECIFICAR ,"PAZ, BENJAMIN  ",COMPLETA EL PERIODO DE SALUSTIANO ZAVALIA. (1868/1877).  
"CONCHEZ, PEDRO A. ",29/11/1983,09/12/1992 ,29/11/1983,09/12/1992 ,LA PAMPA ,JUSTICIALISTA ,"VERNA, CARLOS ALBERTO ",LO REEMPLAZA CARLOS VERNA.  
"CONTATO CAROL, EDUARDO RAMON ",29/11/1995,09/12/2001 ,15/08/2001,09/12/2001 ,SANTIAGO DEL ESTERO ,JUSTICIALISTA ,"JUAREZ, CARLOS ARTURO ",REEMPLAZA AL SENADOR VAQUIR QUE RENUNCIA PARA SER EMBAJADOR EN KUWAIT.  
"CONTI, DIANA BEATRIZ ",10/12/2001,09/12/2005 ,03/07/2002,09/12/2005 ,BUENOS AIRES ,FREPASO ,SENADORA EN EJERCICIO ,REEMPLAZA AL SENADOR ALFONSIN POR RENUNCIA DEL MISMO EL 03/07/2002.  
"CORACH, CARLOS VLADIMIRO ",15/12/1999,09/12/2001 ,15/12/1999,09/12/2001 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,JUSTICIALISTA ,"TERRAGNO, RODOLFO ",REEMPLAZA A MARIO O'DONELL POR EXPIRACION DE MANDATO.  
"CORCHUELO BLASCO, HEBE ",11/12/1986,09/12/1989 ,27/07/1988,09/12/1989 ,CHUBUT ,JUSTICIALISTA ,"MAC KARTHY, CESAR ",COMPLETA EL PERIODO DE MANUEL DEL VILLAR QUE FALLECE.  
"CORDOBA, LUCAS A.  ",06/05/1895,30/04/1904 ,15/11/1898,04/12/1901 ,TUCUMÁN ,SIN ESPECIFICAR ,"SANTILLAN, ZENON J.  ",COMPLETA EL PERIODO DE JULIO ARGENTINO ROCA. RENUNCIA EN 1901 PARA SER GOBERNDOR DE LA PROVINCIA DE TUCUMAN. LO REEMPLAZA ZENON SANTILLAN.  
"CORNEJO LINARES, JUAN CARLOS  ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,SALTA ,FREJULI ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"CORPACCI, LUCIA BENIGNA ",10/12/2009,09/12/2015 ,10/12/2009,09/12/2011 ,CATAMARCA ,FRENTE PARA LA VICTORIA ,,RENUNCIO POR DR-1365/11 PARA OCUPAR LA GOBERNACION DE LA PROVINCIA DE CATAMARCA  
"CORRADI DE BELTRAN, ANA MARIA ",10/12/2007,09/12/2013 ,10/12/2007,Sin Fecha ,SANTIAGO DEL ESTERO ,MOVIMIENTO SANTIAGO VIABLE ,SENADORA EN EJERCICIO ,NINGUNA 
"CORRADI, LUIS MAURICIO  ",12/08/1963,30/04/1966 ,12/08/1963,30/04/1966 ,SANTA CRUZ ,DEMOCRATA CRISTIANO ,"GARCIA LEYENDA, FRANCISCO RODOLFO  ",ES REEMPLAZADO POR RODOLFO GARCIA LEYENDA.  
"CORREA, ANTONIO EDUARDO  ",25/04/1952,30/04/1955 ,25/04/1952,30/04/1955 ,TUCUMÁN ,SIN ESPECIFICAR ,"CORREA, ANTONIO EDUARDO  ",REEMPLAZA A LUIS CRUZ POR EXPIRACION DE MANDATO.  
"CORREA, ANTONIO EDUARDO  ",26/04/1955,30/04/1961 ,26/04/1955,21/09/1955 ,TUCUMÁN ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955.  
"CORREA, FRANCISCO E.  ",29/03/1932,30/04/1935 ,29/03/1932,02/02/1935 ,SANTA FE ,DEMOCRATA PROGRESISTA ,"CABALLERO, RICARDO  ",FALLECE EN EL AÑO 1935. LO REEMPLAZA RICARDO CABALLERO.  
"CORRECHE, SUSANA  ",25/04/1953,30/04/1958 ,25/04/1953,21/09/1955 ,LA PAMPA ,PERONISTA ,DISOLUCION DEL P. LEGISLATIVO ,"EL ARTICULO 4° (CLAUSULA 6°) DE LA RESOLUCION DE LA CONVENCION CONSTITUYENTE DE 1949, DETERMINO LA UNIFICACION DE LOS MANDATOS DE LOS LEGISLADORES, ESTOS CADUCARON EL 30/04/1952. DISOLUCION DEL PODER LEGISLATIVO EL 21/09/1955. PCIA. EVA PERON.  "
"CORREGIDO, ELENA MERCEDES ",10/12/2007,09/12/2013 ,10/12/2007,Sin Fecha ,CHACO ,ALIANZA FRENTE JUST. CHACO MERECE MÁS ,SENADORA EN EJERCICIO ,NINGUNA 
"CORTE, ROLANDO  ",26/04/1961,30/04/1970 ,26/04/1961,06/09/1962 ,JUJUY ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962.  
"CORTES, GERONIMO  ",13/07/1871,30/04/1880 ,03/07/1875,30/04/1880 ,CÓRDOBA ,SIN ESPECIFICAR ,"DEL VISO, ANTONIO  ",COMPLETA EL PERIODO DE MATEO LUQUE.  
"CORTES, GERONIMO  ",27/10/1886,30/04/1892 ,27/09/1890,26/07/1891 ,CÓRDOBA ,SIN ESPECIFICAR ,"YOFRE, FELIPE  ",COMPLETA EL PERIODO DE PEDRO FUNES. FALLECE EN 1891. LO REEMPLAZA FELIPE YOFRE.  
"CORTES, RAFAEL  ",26/09/1874,30/04/1883 ,10/06/1880,14/05/1881 ,SAN LUIS ,SIN ESPECIFICAR ,"RODRIGUEZ, CARLOS JUAN  ",REEMPLAZA A PABLO PRUNEDA. RENUNCIA EN 1881. LO REEMPLAZA CARLOS RODRIGUEZ (1881-1883).  
"CORTES, RAFAEL  ",30/04/1883,30/04/1892 ,30/04/1883,01/09/1887 ,SAN LUIS ,SIN ESPECIFICAR ,"RODRIGUEZ, CARLOS JUAN  ",FALLECE EN 1887. LO REEMPLAZA CARLOS RODRIGUEZ (1887-1892).  
"CORVALAN, FEDERICO  ",02/05/1868,30/04/1877 ,02/05/1868,30/04/1877 ,MENDOZA ,SIN ESPECIFICAR ,"CIVIT, FRANCISCO  ",REEMPLAZA A BORJA CORREA POR EXPIRACION DE MANDATO.  
"CORVALAN, SANTIAGO E.  ",22/06/1928,30/04/1937 ,22/06/1928,06/09/1930 ,SANTIAGO DEL ESTERO ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930.  
"COSSIO, RUFINO  ",22/01/1941,30/04/1950 ,22/01/1941,05/06/1943 ,TUCUMÁN ,UNIÓN CÍVICA RADICAL ,DISOLUCION DEL P. LEGISLATIVO ,REEMPLAZA A LOPEZ PEÑA POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943.  
"COSTANZO, REMO ",20/12/1989,09/12/1998 ,20/12/1989,09/12/1998 ,RÍO NEGRO ,JUSTICIALISTA ,"COSTANZO, REMO ",REEMPLAZA A ANTONIO NAPOLI POR EXPIRACION DE MANDATO.  
"COSTANZO, REMO ",25/11/1998,09/12/2001 ,25/11/1998,09/12/2001 ,RÍO NEGRO ,JUSTICIALISTA ,"ISIDORI, AMANDA MERCEDES ",REELECTO.  
"CRESPO, ANTONIO  ",17/10/1854,30/04/1860 ,19/06/1855,30/04/1860 ,SANTIAGO DEL ESTERO ,SIN ESPECIFICAR ,"BORGES, JUAN FRANCISCO  ",NINGUNA 
"CRESPO, ANTONIO F.  ",14/05/1889,30/04/1898 ,14/05/1889,07/06/1893 ,ENTRE RÍOS ,SIN ESPECIFICAR ,"MACIA, SALVADOR  ",FALLECE EN 1893. LO REEMPLAZA SALVADOR MACIA. (1893/1895).  
"CROTTO, JOSE CAMILO  ",21/05/1912,30/04/1919 ,21/05/1912,01/05/1918 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,UNIÓN CÍVICA RADICAL ,"GALLO, VICENTE C.  ",SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. COMPLETA EL PERIODO DE MARCO AVELLANEDA. RENUNCIA EN 1918 PARA SER GOBERNADOR DE BUENOS AIRES. NO SE COMPLETA EL PERIODO DE ESTA BANCA.  
"CRUZ, LUIS  ",30/04/1946,30/04/1952 ,22/05/1946,30/04/1952 ,TUCUMÁN ,SIN ESPECIFICAR ,"CORREA, ANTONIO EDUARDO  ",NINGUNA 
"CULASSO MATTEI, LUIS F.  ",03/05/1973,31/03/1977 ,06/12/1973,24/03/1976 ,SANTA FE ,AL. POP. FED.-SANTA FE ,DISOLUCION DEL P. LEGISLATIVO ,COMPLETA EL PERIODO DE MUNIAGURRIA. DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"CULLEN, JOSE MARIA  ",24/05/1862,30/04/1865 ,24/05/1862,30/04/1865 ,SANTA FE ,SIN ESPECIFICAR ,"GRANEL, JOAQUIN  ",NINGUNA 
"CURLETTI, MIRIAN BELÉN ",10/12/2001,09/12/2007 ,10/12/2001,Sin Fecha ,CHACO ,UNIÓN CÍVICA RADICAL ,"BIANCALANI, FABIO DARIO ",REEMPLAZA AL SENADOR SAGER POR EXPIRACION DE MANDATO.  
"D'AGOSTINO, LUCIO ROQUE  ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,ENTRE RÍOS ,FREJULI ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"D'AMICO, CARLOS A.  ",16/08/1883,30/04/1892 ,16/08/1883,01/05/1884 ,BUENOS AIRES ,SIN ESPECIFICAR ,"ROCHA, DARDO  ",RENUNCIA EN 1884 PARA SER GOBERNADOR DE LA PROVINCIA DE BUENOS AIRES. LO REEMPLAZA DARDO ROCHA. (1884/1892).  
"DANIELE, MARIO DOMINGO ",10/12/2001,09/12/2007 ,10/12/2001,09/12/2007 ,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR ",JUSTICIALISTA ,"MARTINEZ, JOSE CARLOS ",REEMPLAZA AL SENADOR GERARDO PALACIOS.  
"DARACT, JUSTO  ",27/05/1862,30/04/1865 ,27/05/1862,30/04/1865 ,SAN LUIS ,SIN ESPECIFICAR ,"LLERENA, JUAN  ",NINGUNA 
"DARACT, MAURICIO  ",27/05/1862,30/04/1865 ,27/05/1862,30/04/1865 ,SAN LUIS ,SIN ESPECIFICAR ,"DARACT, MAURICIO  ",NINGUNA 
"DARACT, MAURICIO  ",28/04/1865,30/04/1874 ,28/04/1865,30/04/1874 ,SAN LUIS ,SIN ESPECIFICAR ,"PRUNEDA, PABLO  ",REELECTO.  
"DAVILA, ADOLFO E.  ",30/04/1907,30/04/1916 ,22/06/1912,30/04/1916 ,LA RIOJA ,CONSERVADOR ,"DAVILA, ADOLFO E.  ",COMPLETA EL PERIODO DE LEONIDAS CARREÑO.  
"DAVILA, ADOLFO E.  ",29/04/1916,30/04/1925 ,29/04/1916,02/04/1918 ,LA RIOJA ,CONSERVADOR ,"LUNA, DAVID  ",REELECTO. FALLECE EN 1918. LO REEMPLAZA DAVID LUNA.  
"DAVILA, ANIBAL J.  ",31/03/1958,30/04/1967 ,31/03/1958,06/09/1962 ,CORRIENTES ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962.  
"DAVILA, DOMINGO B.  ",01/05/1880,30/04/1889 ,07/05/1881,30/04/1889 ,LA RIOJA ,SIN ESPECIFICAR ,"BUSTOS, FRANCISCO V.  ",REEMPLAZA A SANTIAGO GORDILLO POR EXPIRACION DE MANDATO.  
"DAVILA, GUILLERMO  ",24/05/1862,30/04/1871 ,16/05/1863,30/04/1871 ,LA RIOJA ,SIN ESPECIFICAR ,"VALLEJO, BENIGNO  ",NINGUNA 
"DE LA ROSA, CARLOS LEONARDO ",29/11/1995,09/12/2001 ,29/11/1995,09/12/2001 ,MENDOZA ,JUSTICIALISTA ,"PERCEVAL, MARÍA CRISTINA ",REEMPLAZA A JOSE GENOUD POR EXPIRACION DE MANDATO.  
"DE LA ROSA, MARIA G. ",10/12/2011,09/12/2017 ,10/12/2011,Sin Fecha ,FORMOSA ,ALIANZA FRENTE PARA LA VICTORIA ,,NINGUNA 
"DE LA RUA, FERNANDO ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,UNIÓN CÍVICA RADICAL ,DISOLUCION DEL P. LEGISLATIVO ,SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"DE LA RUA, FERNANDO ",29/11/1983,09/12/1989 ,29/11/1983,09/12/1989 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,UNIÓN CÍVICA RADICAL ,"VACA, EDUARDO PEDRO ",SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES.  
"DE LA RUA, FERNANDO ",02/12/1992,09/12/2001 ,02/12/1992,06/08/1996 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,UNIÓN CÍVICA RADICAL ,"GARCIA ARECHA, JOSE MARIA ",SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. RENUNCIA EN 1996 PARA SER JEFE DE GOBIERNO DE LA CIUDAD AUTONOMA DE BUENOS AIRES. LO REEMPLAZA GARCIA ARECHA.  
"DE LA SOTA, JOSE MANUEL ",29/11/1995,09/12/2001 ,29/11/1995,14/07/1999 ,CÓRDOBA ,JUSTICIALISTA ,"RAIJER, BEATRIZ IRMA ",POR LA REFORMA CONSTITUCIONAL DE 1994 ES ELEGIDO TERCER SENADOR. RENUNCIA EL 14 DE JULIO DE 1999 PARA SER GOBERNADOR DE CORDOBA. COMPLETA SU PERIODO BEATRIZ RAIJER.  
"DE LA TORRE, LISANDRO  ",29/03/1932,30/04/1938 ,29/03/1932,05/01/1937 ,SANTA FE ,DEMOCRATA PROGRESISTA ,"CEPEDA , JUAN  ",RENUNCIA EN 1937. LO REEMPLAZA JUAN CEPEDA.  
"DE LLAMAS, ENRIQUE V.  ",31/03/1958,30/04/1967 ,31/03/1958,06/09/1962 ,CHACO ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962.  
"DE LUCA DE SOTO, ZELMIRA ANTONIA  ",26/04/1955,30/04/1961 ,26/04/1955,21/09/1955 ,CORRIENTES ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,REEMPLAZA A ELENA DI GIROLAMO POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955.  
"DE PAOLIS, JOSE GUILLERMO  ",25/04/1952,30/04/1955 ,25/04/1952,30/04/1955 ,MENDOZA ,SIN ESPECIFICAR ,"DE PAOLIS, JOSE GUILLERMO  ",REEMPLAZA A MATHUS HOYOS POR EXPIRACION DE MANDATO.  
"DE PAOLIS, JOSE GUILLERMO  ",26/04/1955,30/04/1961 ,30/04/1955,21/09/1955 ,MENDOZA ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955.  
"DE REGE, ROBERTO  ",12/08/1963,30/04/1969 ,12/08/1963,28/06/1966 ,RÍO NEGRO ,DEMOCRATA CRISTIANO ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"DEL PIERO, PEDRO ",29/11/1995,09/12/2001 ,10/12/1997,09/12/2001 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,FREPASO ,,SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. COMPLETA EL PERIODO DE GRACIELA FERNANDEZ MEIJIDE.  
"DEL PINO, ANTONIO  ",02/05/1889,30/04/1898 ,02/05/1889,30/04/1898 ,CATAMARCA ,SIN ESPECIFICAR ,"HERRERA, JULIO  ",REEMPLAZA A MANUEL NAVARRO POR EXPIRACION DE MANDATO.  
"DEL PINO, ANTONIO  ",30/04/1907,30/04/1916 ,30/04/1907,30/04/1916 ,CATAMARCA ,SIN ESPECIFICAR ,"MOLINA, EMILIO  ",REEMPLAZA A JULIO HERRERA POR EXPIRACION DE MANDATO.  
"DEL VALLE IBERLUCEA, ENRIQUE  ",29/04/1913,30/04/1922 ,29/04/1913,30/08/1921 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,SOCIALISTA ,"LE BRETON, TOMAS A.  ",SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. FALLECE EN 1921. NO SE COMPLETA EL PERIODO.  
"DEL VALLE, ARISTOBULO  ",03/05/1877,30/04/1886 ,03/05/1877,30/04/1886 ,BUENOS AIRES ,SIN ESPECIFICAR ,"DEL VALLE, ARISTOBULO  ",REEMPLAZA A MANUEL QUINTANA POR EXPIRACION DE MANDATO.  
"DEL VALLE, ARISTOBULO  ",01/05/1886,30/04/1895 ,01/05/1886,31/07/1890 ,BUENOS AIRES ,SIN ESPECIFICAR ,"PAZ, MAXIMO  ",REELECTO. RENUNCIA EN 1890. LO REEMPLAZA MAXIMO PAZ ( 1890/1895)  
"DEL VALLE, DELFOR  ",26/06/1922,30/04/1931 ,26/06/1922,06/09/1930 ,BUENOS AIRES ,UNIÓN CÍVICA RADICAL ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930.  
"DEL VILLAR, MANUEL ",11/12/1986,09/12/1989 ,11/12/1986,23/06/1988 ,CHUBUT ,UNIÓN CÍVICA RADICAL ,"CORCHUELO BLASCO, HEBE ",COMPLETA EL PERIODO DE K. WOODLEY. FALLECE EL 23 DE JUNIO DE 1988. LO REEMPLAZA HEBE CORCHUELO BLASCO.  
"DEL VISO, ANTONIO  ",13/07/1880,30/04/1889 ,13/07/1880,12/10/1880 ,CÓRDOBA ,SIN ESPECIFICAR ,"MOYANO, GUILLERMO A.  ",REEMPLAZA A GERONIMO CORTES POR EXPIRACION DE MANDATO. ENUNCIA EN 1880 PARA SER MINISTRO DEL INTERIOR. LO REEMPLAZA GUILLERMO A. MOYANO.  
"DELGADO, FRANCISCO  ",17/10/1854,30/04/1860 ,25/05/1855,20/06/1857 ,MENDOZA ,SIN ESPECIFICAR ,"ORTIZ, MEDARDO  ",RENUNCIA EN 1857 PARA SER MINISTRO DE LA SUPREMA CORTE DE JUSTICIA. LO REEMPLAZA MEDARDO ORTIZ.  
"DELGADO, FRANCISCO  ",26/07/1862,30/04/1865 ,26/07/1862,30/04/1865 ,MENDOZA ,SIN ESPECIFICAR ,ES SENADOR SUPLENTE ,SUPLENTE.  
"DERQUI, MANUEL  ",01/05/1886,30/04/1895 ,01/05/1886,27/05/1891 ,CORRIENTES ,SIN ESPECIFICAR ,"MARTINEZ, JUAN E.  ",REEMPLAZA A MIGUEL GELABERT POR EXPIRACION DE MANDATO. FALLECE EN 1891. LO REEMPLAZA JUAN F. MARTINEZ (1891/1895).  
"DI GIROLAMO, ELENA  ",25/04/1952,30/04/1955 ,25/04/1952,30/04/1955 ,CORRIENTES ,SIN ESPECIFICAR ,"DE LUCA DE SOTO, ZELMIRA ANTONIA  ",REEMPLAZA A FRANCISCO MENDIONDO POR EXPIRACION DE MANDATO.  
"DI PERNA, GRACIELA AGUSTINA ",10/12/2009,09/12/2015 ,10/12/2009,Sin Fecha ,CHUBUT ,FRENTE POR LA INTEGRACIÓN ,,NINGUNA 
"DI PIETRO, ARTURO ROLANDO ",13/12/1995,09/12/2001 ,11/12/1999,24/12/2000 ,SANTA FE ,JUSTICIALISTA ,"FUNES, CARLOS DELCIO ",REEMPLAZA A CARLOS ALBERTO REUTEMANN. FALLECE EL 24 DE DICIEMBRE DE 2000. LO REEMPLAZA CARLOS FUNES.  
"DIAZ BIALET, ALEJANDRO MANUEL  ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,FREJULI ,DISOLUCION DEL P. LEGISLATIVO ,SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"DIAZ COLODRERO, PEDRO  ",22/01/1941,30/04/1950 ,22/01/1941,04/08/1942 ,CORRIENTES ,AUTONOMISTA ,"ABAD, ELIAS  ",REEMPLAZA A JUAN J. LUBARY POR EXPIRACION DE MANDATO. FALLECE EN 1942. LO REEMPLAZA ELIAS ABAD.  
"DIAZ COLODRERO, WENCESLAO  ",16/07/1868,30/04/1877 ,16/07/1868,27/05/1876 ,CORRIENTES ,SIN ESPECIFICAR ,"GELABERT, MIGUEL V.  ",FALLECE EN 1876. LO REEMPLAZA MIGUEL GELABERT.  
"DIAZ VELEZ, CIRIACO  ",17/10/1854,30/04/1857 ,25/05/1855,15/05/1856 ,LA RIOJA ,SIN ESPECIFICAR ,"DIAZ VELEZ, CIRIACO  ",SUPLENTE. PASA A SER TITULAR.  
"DIAZ VELEZ, CIRIACO  ",17/10/1854,30/04/1863 ,15/05/1856,12/12/1861 ,LA RIOJA ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL CONGRESO DE PARANA EL 12 DE DICIEMBRE DE 1861.  
"DIAZ, ANTONINO  ",14/06/1898,30/04/1907 ,14/06/1898,30/04/1907 ,SALTA ,SIN ESPECIFICAR ,"GUEMES, LUIS  ",REEMPLAZA A BENJAMIN FIGUEROA POR EXPIRACION DE MANDATO.  
"DIAZ, JUAN LUIS  ",03/07/1958,30/04/1961 ,03/07/1958,30/04/1961 ,FORMOSA ,SIN ESPECIFICAR ,"AZAR, MOISES  ",NINGUNA 
"DIAZ, MARIA ROSA ",10/12/2007,09/12/2013 ,10/12/2007,Sin Fecha ,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR ",AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA ,SENADORA EN EJERCICIO ,NINGUNA 
"DONCEL, CARLOS  ",02/05/1889,30/04/1898 ,02/05/1889,12/05/1896 ,SAN JUAN ,SIN ESPECIFICAR ,"ALBARRACIN, ALEJANDRO  ",REEMPLAZA A HERMOGENES RUIZ POR EXPIRACION DE MANDATO. RENUNCIA EN 1896 PARA SER GOBERNADOR DE LA PROVINCIA DE SAN JUAN. LO REEMPLAZA ALEJANDRO ALBARRACIN. (1896/1898).  
"DONCEL, CARLOS  ",02/05/1898,30/04/1907 ,02/05/1898,30/04/1907 ,SAN JUAN ,SIN ESPECIFICAR ,"GARRAMUÑO, MOISES A.  ",REEMPLAZA A ALEJANDRO ALBARRACIN POR EXPIRACION DE MANDATO.  
"DUHALDE, EDUARDO ALBERTO ",10/12/2001,09/12/2005 ,10/12/2001,04/01/2002 ,BUENOS AIRES ,JUSTICIALISTA ,"CAFIERO, ANTONIO FRANCISCO ",REEMPLAZA AL SENADOR CAFIERO POR EXPIRACION DE MANDATO. RENUNCIA PARA SER PRESIDENTE DE LA NACIÓN ELEGIDO POR LA ASAMBLEA LEGISLATIVA.  
"DURAND, ALBERTO  ",22/05/1946,30/04/1952 ,22/05/1946,30/04/1952 ,SALTA ,SIN ESPECIFICAR ,"DURAND, ALBERTO  ",NINGUNA 
"DURAND, ALBERTO  ",25/04/1952,30/04/1955 ,25/04/1952,30/04/1955 ,SALTA ,SIN ESPECIFICAR ,"CARO, JOSE ARMANDO  ",REELECTO.  
"ECHAGÜE, LEONIDAS  ",01/08/1871,30/04/1880 ,01/07/1875,30/04/1880 ,ENTRE RÍOS ,SIN ESPECIFICAR ,"FEBRE, RAMON  ",COMPLETA EL PERIODO DE APOLINARIO BENITEZ. (1871/1880).  
