Senador,Legal Desde,Legal Hasta,Real Desde,Real Hasta,Provincia,Partido Político,Reemplazo,Observaciones
"MIKKELSEN-LÖTH, JORGE FEDERICO ",25/11/1998,09/12/2001 ,03/03/1999,09/12/2001 ,SANTIAGO DEL ESTERO ,JUSTICIALISTA ,"CASTRO, MARÍA ELISA ",REEMPLAZA A CARLOS JUAREZ QUE NO PRESTO JURAMENTO Y QUE RENUNCIO A LA BANCA EL 3 DE MARZO DE 1999. SUCEDE A JOSE FIGUEROA POR EXPIRACION DE MANDATO.  
"MINICHELLI DE COSTANZO, MARTHA SUSANA  ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,RÍO NEGRO ,FREJULI ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"MIRANDA, GUILLERMO ILDEFONSO  ",30/06/1960,30/04/1961 ,30/06/1960,30/04/1961 ,MISIONES ,SIN ESPECIFICAR ,"LOSADA, MARIO  ",CUMPLE EL PERIODO VACANTE. POR SORTEO LE CORRESPONDIO MANDATO POR TRES AÑOS.  
"MIRANDA, JULIO ANTONIO ",09/12/1992,09/12/2001 ,22/12/1992,27/10/1999 ,TUCUMÁN ,JUSTICIALISTA ,"CARBONELL, JOSE FERNANDO FRANCISCO ",REEMPLAZA A JIMENEZ MONTILLA POR EXPIRACION DE MANDATO. RENUNCIA PARA SER GOBERNADOR DE LA PROVINCIA DE TUCUMAN.  
"MIRANDA, JULIO ANTONIO ",10/12/2003,09/12/2009 ,10/12/2003,Sin Fecha ,TUCUMÁN ,JUSTICIALISTA ,SENADOR EN EJERCICIO ,NINGUNA 
"MITRE, BARTOLOME  ",11/05/1869,30/04/1874 ,11/05/1869,30/04/1874 ,BUENOS AIRES ,SIN ESPECIFICAR ,"ROCHA, DARDO  ",COMPLETA EL PERIODO DE FELIX FRIAS ( 1865/1874 ) .  
"MITRE, BARTOLOME  ",31/05/1894,30/04/1901 ,31/05/1894,30/04/1901 ,BUENOS AIRES ,SIN ESPECIFICAR ,"MITRE, BARTOLOME  ",COMPLETA EL PERIODO DE ROQUE SAENZ PEÑA ( 1892-1901 ).  
"MITRE, BARTOLOME  ",01/05/1901,30/04/1910 ,01/05/1901,05/06/1902 ,BUENOS AIRES ,SIN ESPECIFICAR ,"IRIGOYEN, BERNARDO DE  ","REELECTO. RENUNCIA EN 1902. LO REEMPLAZA BERNARDO DE IRIGOYEN, FALLECE EN 1906 Y LO REEMPLAZA MARCELINO UGARTE.  "
"MOLINA, EMILIO  ",29/04/1916,30/04/1925 ,29/04/1916,29/04/1919 ,CATAMARCA ,SIN ESPECIFICAR ,"SORIA, FERNANDO M.  ",REEMPLAZA A ANTONIO DEL PINO POR EXPIRACION DE MANDATO. FALLECE EN 1919. LO REEMPLAZA FERNANDO SORIA.  
"MOLINA, PEDRO E. ",28/11/1986,09/12/1995 ,28/11/1986,09/12/1995 ,SANTA CRUZ ,JUSTICIALISTA ,"FERNÁNDEZ DE KIRCHNER, CRISTINA E. ",REEMPLAZA A RAMON ALMENDRA POR EXPIRACION DE MANDATO. ES REEMPLAZADO POR CRISTINA FERNANDEZ DE KIRCHNER.  
"MOLINA, SAMUEL  ",11/06/1874,30/04/1883 ,11/06/1874,18/06/1880 ,CATAMARCA ,SIN ESPECIFICAR ,"FIGUEROA, MARCOS A.  ",REEMPLAZA A JOSE LUIS LOBO POR EXPIRACION DE MANDATO. FALLECE EN 1880. LO REEMPLAZA MARCOS FIGUEROA ( 1880-1883 ).  
"MOLINARI ROMERO, LUIS ARTURO R. ",25/11/1998,09/12/2001 ,25/11/1998,09/12/2001 ,CÓRDOBA ,UNIÓN CÍVICA RADICAL ,"MAQUEDA, JUAN CARLOS ",REEMPLAZA A CONRADO STORANI POR EXPIRACION DE MANDATO.  
"MOLINARI, DIEGO LUIS  ",22/06/1928,30/04/1937 ,22/06/1928,06/09/1930 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930.  
"MOLINARI, DIEGO LUIS  ",22/05/1946,30/04/1955 ,22/05/1946,25/04/1952 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,SIN ESPECIFICAR ,"CALVIÑO DE GOMEZ, MARIA ROSA  ",SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. POR LA REFORMA CONSTITUCIONAL DE 1949 SE UNIFICAN LOS MANDATOS A PARTIR DEL 30 DE ABRIL DE 1952.  
"MONLLAU, BLANCA MARIA DEL VALLE ",10/12/2009,09/12/2015 ,10/12/2009,Sin Fecha ,CATAMARCA ,ALIANZA FRENTE CÍVICO Y SOCIAL ,,NINGUNA 
"MONTENEGRO, PIO  ",20/01/1932,30/04/1935 ,20/01/1932,30/04/1935 ,SANTIAGO DEL ESTERO ,U. C. R. ANTIPERSONALISTA ,"MONTENEGRO, PIO  ",NINGUNA 
"MONTENEGRO, PIO  ",02/05/1935,30/04/1944 ,02/05/1935,17/02/1936 ,SANTIAGO DEL ESTERO ,U. C. R. ANTIPERSONALISTA ,"PINTO, JORGE J.  ",REELECTO. RENUNCIA EN 1936 PARA SER GOBERNADOR DE LA PROVINCIA DE SANTIAGO DEL ESTERO. LO REEMPLAZA JORGE PINTO.  
"MONTERO, LAURA GISELA ",10/12/2009,09/12/2015 ,10/12/2009,Sin Fecha ,MENDOZA ,ALIANZA FRENTE CÍVICO FEDERAL UCR-CONFE ,,NINGUNA 
"MONTOYA, JORGE LUCIANO ",10/12/2001,09/12/2003 ,27/02/2003,Sin Fecha ,CÓRDOBA ,JUSTICIALISTA ,"URQUÍA, ROBERTO DANIEL ",REEMPLAZA AL SENADOR MAQUEDA POR RENUNCIA DEL MISMO A LA PRESIDENCIA DEL SENADO ( 27/12/2003 ).  
"MORA OLMEDO, EPIFANIO  ",30/04/1919,30/04/1928 ,17/03/1923,30/04/1928 ,SAN LUIS ,SIN ESPECIFICAR ,"MORA OLMEDO, EPIFANIO  ",OCUPA EL CARGO EN 1923.  
"MORA OLMEDO, EPIFANIO  ",21/05/1928,30/04/1937 ,21/05/1928,06/09/1930 ,SAN LUIS ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930.  
"MORALES, GERARDO RUBÉN ",10/12/2001,09/12/2005 ,10/12/2001,09/12/2005 ,JUJUY ,UNIÓN CÍVICA RADICAL ,"MORALES, GERARDO RUBÉN ",REEMPLAZA AL SENADOR TELL.  
"MORALES, GERARDO RUBÉN ",10/12/2005,09/12/2011 ,10/12/2005,Sin Fecha ,JUJUY ,FRENTE JUJEÑO ,SENADOR EN EJERCICIO ,NINGUNA 
"MORALES, GERARDO RUBÉN ",10/12/2011,09/12/2017 ,10/12/2011,Sin Fecha ,JUJUY ,UNIÓN CÍVICA RADICAL ,,NINGUNA 
"MORANDINI, NORMA ELENA ",10/12/2009,09/12/2015 ,24/02/2010,Sin Fecha ,CÓRDOBA ,ALIANZA FRENTE CÍVICO ,,NINGUNA 
"MOREAU, LEOPOLDO RAUL GUIDO ",29/11/1995,09/12/2001 ,29/11/1995,09/12/2001 ,BUENOS AIRES ,UNIÓN CÍVICA RADICAL ,"ALFONSIN, RAÚL RICARDO ",POR LA REFORMA CONTITUCIONAL DE 1994 ES ELEGIDO TERCER SENADOR.  
"MOREIRA, MIGUEL ORLANDO  ",03/05/1973,30/04/1977 ,03/05/1973,24/03/1976 ,MISIONES ,FREJULI ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"MORENO, GREGORIO  ",24/05/1862,30/04/1865 ,24/05/1862,30/04/1865 ,CATAMARCA ,SIN ESPECIFICAR ,"LOBO, JOSE LUIS  ",NINGUNA 
