"1983";"123";"Héctor Esteban Allo";"Unión Cívica Radical"
"1983";"124";"Arnoldo Primero Aparicio";"Unión Cívica Radical"
"1983";"125";"Aldo Luis Arrighi";"Alianza Demócrata Socialista"
"1987";"1";"Guillermo Narbaitz";"Unión Cívica Radical"
"1987";"2";"Raúl Roberto Vaccarezza";"Unión Cívica Radical"
"1987";"3";"Jorge Antonio Villaverde";"Frente Justicialista Renovador"
"1987";"4";"Luis Raul Sagol";"Unión Cívica Radical"
"1987";"5";"Luis Alfredo Ilarregui";"Frente Justicialista Renovador"
"1987";"6";"Rubén César De Paula";"Unión Cívica Radical"
"1987";"7";"Juan Carlos Cabiron";"Unión Cívica Radical"
"1987";"8";"Victor Hector Baez";"Frente Justicialista Renovador"
"1987";"9";"Mario Pedro Valenti";"Unión Cívica Radical"
"1987";"202";"Casimiro René Papini";"Unión Cívica Radical"
"1987";"11";"Juan José Mussi";"Frente Justicialista Renovador"
"1987";"12";"Juan Enrique Nadeff";"Frente Justicialista Renovador"
"1987";"13";"Julio César Ruiz";"Unión Cívica Radical"
"1987";"14";"Ricardo Vicente Ienco";"Frente Justicialista Renovador"
"1987";"15";"Carlos José Castro";"Frente Justicialista Renovador"
"1987";"16";"Calixto Bartolomé Dellepiane";"Unión Cívica Radical"
"1987";"17";"Jorge Claudio Dominguez";"Unión Cívica Radical"
"1987";"18";"Oscar Alberto Olives";"Unión Cívica Radical"
"1987";"19";"Pascual Angel Rampi";"Frente Justicialista Renovador"
"1987";"20";"Fernando José Maria Martinez";"Unión Cívica Radical"
"1987";"21";"Santiago Luis Pigantaro";"Frente Justicialista Renovador"
"1987";"23";"Moisés Eduardo Fontela";"Frente Justicialista Renovador"
"1987";"29";"Mario Oscar Lalla";"Unión Cívica Radical"
"1987";"30";"Carlos César Garbizu";"Unión Cívica Radical"
"1987";"31";"Jorge Adalberto Juan Corena";"Frente Justicialista Renovador"
"1987";"24";"Gerardo Alfredo Morales";"Unión Cívica Radical"
"1987";"25";"Osvaldo Aníbal Crego";"Unión Cívica Radical"
"1987";"26";"Héctor Oscar Scavuzzo";"Frente Justicialista Renovador"
"1987";"27";"Néstor Alberto Giorno";"Frente Justicialista Renovador"
"1987";"28";"Domingo Nicolás Moccero";"Partido Intransigente:"
"1987";"32";"Jorge Omar Carle";"Unión Cívica Radical"
"1987";"33";"Juan Carlos Valente";"Unión Cívica Radical"
"1987";"34";"Cirilo Nelso Caraballo";"Frente Justicialista Renovador"
"1987";"35";"Fernando Argentino Valle";"Frente Justicialista Renovador"
"1987";"36";"Luis Manuel Obarrio";"Frente Justicialista Renovador"
"1987";"37";"Adalberto Cándido Aner";"Unión Cívica Radical"
"1987";"38";"Julio Alberto Carpinetti";"Frente Justicialista Renovador"
"1987";"39";"Enrique Marcelo Honores";"Unión Cívica Radical"
"1987";"40";"Aldo Rubén Sivero";"Frente Justicialista Renovador"
"1987";"41";"Carlos Santiago Boo";"Frente Justicialista Renovador"
"1987";"42";"Ricardo Julio Callegari";"Frente Justicialista Renovador"
"1987";"43";"Néstor Aníbal Galarraga";"Unión Cívica Radical"
"1987";"44";"Orlando César Arroquy";"Unión Cívica Radical"
"1987";"45";"Juan Carlos Calo";"Frente Justicialista Renovador"
"1987";"46";"Eladio Delfor Zuetta";"Unión Cívica Radical"
"1987";"47";"Luis Emilio Romano";"Unión Cívica Radical"
"1987";"48";"Juan Carlos Veramendi";"Frente Justicialista Renovador"
"1987";"49";"Luis Alberto Bruni";"Unión Cívica Radical"
"1987";"50";"Angel Roig";"Unión Cívica Radical"
"1987";"51";"Norberto Alfredo Landi";"Frente Justicialista Renovador"
"1987";"52";"Carlos Ramón Brown";"Frente Justicialista Renovador"
"1987";"201";"Eduardo Alberto Lopez";"Frente Justicialista Renovador"
"1987";"54";"Carmelo Antonio Cotroneo";"Frente Justicialista Renovador"
"1987";"55";"Alberto Miguel Ballari";"Unión Cívica Radical"
"1987";"56";"Aldo Osmar Pose";"Unión Vecinal del Partido de Gonzales Chaves"
"1987";"57";"Miguel Angel Garcia Merida";"Frente Justicialista Renovador"
"1987";"58";"Osvaldo Martín Arpigiani";"Frente Justicialista Renovador"
"1987";"59";"Juan Carlos Mortati";"Frente Justicialista Renovador"
"1987";"60";"Abel Paulino Miguel";"Unión Cívica Radical"
"1987";"119";"Juan De Jesus";"Frente Justicialista Renovador"
