item,itemLabel
http://www.wikidata.org/entity/Q5575084,Ismael Galíndez
http://www.wikidata.org/entity/Q5575797,José Octavio Bordón
http://www.wikidata.org/entity/Q5576683,Juan del Campillo
http://www.wikidata.org/entity/Q5576963,Felipe Yofre
http://www.wikidata.org/entity/Q5577193,Juan José Álvarez
http://www.wikidata.org/entity/Q5591576,Graciela Ocaña
http://www.wikidata.org/entity/Q5609630,Griselda Tessio
http://www.wikidata.org/entity/Q5616172,Guillermo Jenefes
http://www.wikidata.org/entity/Q5616214,Guillermo Moreno
http://www.wikidata.org/entity/Q5638493,Atilio Antinucci
http://www.wikidata.org/entity/Q5638931,Pedro A. Pardo
http://www.wikidata.org/entity/Q5639008,Haide Giri
http://www.wikidata.org/entity/Q5639390,Luis Felipe Sapag
http://www.wikidata.org/entity/Q5639660,Juan Eugenio Serú
http://www.wikidata.org/entity/Q5639851,Manuel Guillermo Pinto
http://www.wikidata.org/entity/Q5640199,Horacio Massaccesi
http://www.wikidata.org/entity/Q5640620,Enrique Viriato de Llamas
http://www.wikidata.org/entity/Q5640784,José Manuel Cano
http://www.wikidata.org/entity/Q5641297,Enrique Pérez Colman
http://www.wikidata.org/entity/Q5644254,Antonio María Hernandez
http://www.wikidata.org/entity/Q5644472,Plácido Sánchez de Bustamante
http://www.wikidata.org/entity/Q5647267,Carlos Juan Rodríguez
http://www.wikidata.org/entity/Q5648561,Manuel Güiraldes
http://www.wikidata.org/entity/Q5649262,José Ignacio de Mendiguren
http://www.wikidata.org/entity/Q5649743,Antenor Argentino Gauna
http://www.wikidata.org/entity/Q5649905,Darío Díaz Pérez
http://www.wikidata.org/entity/Q5650692,Jorge Federico Sabato
http://www.wikidata.org/entity/Q5651741,Fernando Geronés
http://www.wikidata.org/entity/Q5651750,Cecilia Felgueras
http://www.wikidata.org/entity/Q5654920,Abel Paulino Miguel
http://www.wikidata.org/entity/Q5654948,Abel Zerda
http://www.wikidata.org/entity/Q5655295,Abraham Quintana
http://www.wikidata.org/entity/Q5656889,Domingo Eugenio Villafañe
http://www.wikidata.org/entity/Q5657339,Adalberto Rodríguez Giavarini
http://www.wikidata.org/entity/Q5657363,Herminio Iglesias
http://www.wikidata.org/entity/Q5657534,Adelina Dalesio de Viola
http://www.wikidata.org/entity/Q5657617,Adeodato de Gondra
http://www.wikidata.org/entity/Q5657998,Adolfo Dickman
http://www.wikidata.org/entity/Q5658026,Adolfo Gonzales Chaves (político)
http://www.wikidata.org/entity/Q5658033,Adolfo Güemes
http://www.wikidata.org/entity/Q5658072,Adolfo Mugica (padre)
